verified_reviews,sentiment
There seems to be a bleach odor that resides at this location.\n\nYogurtland is Yogurtland - delicious regardless of location :),Neutral
"Fun place to Check out. Great for after games, since it's near where the baseball and basketball teams play. The sausage dog is yummy, but too much bread. Great bloody Mary bar on Sundays. Good place to watch sports. Sometimes they have bands on their outdoor stage....and sometimes Alice visits.",Neutral
"Love it!! It is so handy and easy to use. Got it for my classroom, but I many need to just get another one.",Positive
"Works great I love it, grand daughter digs the watching of cartoons on it lol",Positive
"As a hotel bar and grill, it is a great place to meet!  Beer selection...OK.\n\nThe food is decent (pub grub) and the staff is eager to please. \n\nDon't forget to check in on FourSquare to receive half off you bill (food only).",Neutral
The patient service here is extremely slow. \nThe wait time exceeds one hour. Dr. Fredrick  Lippman has  challenges with accessibility.,Negative
This is my fourth Echo (original and two dots). It's the best.... Decent speaker... Fun graphics...,Positive
"Nice. It works good.Some times is not easy to recognize your voice and you have to repeat several times, some time almost screaming.",Positive
"In a matter of minutes it became indispensable addition to our house. Extrimelly useful hub of information, music, automation, communication, and assistant in basic needs. Would love to have a voice personalization. Some things are better not to said aloud but typed (like door unlocking codes) but that is problem of unwitty developers. So far only positive experience. The privacy invasions is happened way before Alexa, it is on your phone no matter brand or carrier. To Alexa defence at list it has a button to turn a microphone off.",Positive
"I probably go here twice a year to eat mini manapuas, egg rolls and kalua pig and cabbage.  They have a small hawaiian food section.  Other than that, they have the average buffet items.  Prices and quality are average.",Neutral
"The portions are small, taste was average, and the price was expensive. Tasted better in downtown for way less the cost. 4 people cost over $150 and we left hungry!",Negative
Very good place to eat. Get your name on the list as it is a long wait.  They don't take reservations.,Positive
"Nice little franchise.  Cute.  Friendly.  Food tastes nutricious.  Very inexpensive.  \n\nBut honestly, the food tastes uncooked... bring it home and microwave it.",Neutral
Waste of money. Only good thing is close to home. Cheaper gyms out there with much more for less.,Negative
I won't be going here again. It was way too expensive for the quality of the food. The best part was the salad and bread.,Negative
You can't beat $3 breakfast prices before 7am for the same quality as IHOP or Denny's. \n\nClean restaurant but sometimes the services is a little slow.,Neutral
Pizza by the slice right at the south end of Fremont Street in the remodeled Plaza Hotel Casino.  Open late too.,Neutral
"I love Starbucks, but this one has terrible parking and a small sitting room.  The parking lot has like 6 spots...and no street parking!",Neutral
For $7.50 it's a great value.  This is my first time here & I had the Miso ramen.  It was very salty and I had to ask for water to tone it down.  The ramen was nothing special but the pork slice included was tender and tastes good.,Neutral
"I went there for Botox and the Vail was bad , they did not open it in front of me like it should be done but in a back room , The effect was 0 \nSo there you go $450 out of the window",Negative
Service wasn't great. The food was ok.,Neutral
"Teriyaki bowl is great, but I absolutely love the macaroni salad. It's amazing.",Neutral
"Stupid Idiots left a flyer on my door, but after ordering called back 10 minutes later and said it was to far to drive. WTF",Negative
If your looking for the real deal Mexican food go to SeniorTaco.  If your looking for a place to eat late night go to SeniorTaco.  There's a reason these guys have been open since 1974.  Everything I get is good so I won't recommend anything in particular.,Positive
Love my Echo Spot!,Positive
"Boo! Bring back the old comedy show. Knowing they are this big of a-holes, I will never spend money here again.",Negative
Was quoted $59 + $99 labor for a $39 replacement keyboard. All I needed was one key replaced. Replacement key and retainer clip found elsewhere online new for $6.99 delivered.,Negative
"I’ve had this for a little over 3 weeks now and I absolutely love it! It’s so easy to use. I’m basically using it as a smart alarm but it can do way more. The screen quality is great and it looks super cute sitting on my night stand. I don’t know how I lived without it so long. If you can’t decide whether to buy it or not, GO FOR IT! You won’t regret it!!",Positive
Extremely poor service! The location on N16th street in Phoenix is better in terms of service. Food tastes the same.,Neutral
I love it. It does everything,Positive
Greasy and overpriced.,Negative
"Disappointed that they don't offer biodegradable cups, lids, straws, etc. Styrofoam? Seriously?!",Negative
"This is a cool place with a great beer selection and it has a ton if potential to b a great spot - it's a bit pricey for it's out of date decor, filthy bathroom, and sticky tabletops.",Neutral
"No, not impressed. Quite expensive too. Good thing it was not greasy, bad thing it was not interesting. Probably aint gonna come back.",Neutral
"Meh... It's a nice change from IHOP when I'm craving breakfast for dinner. The portions were large, but nothing really stood out like i had hoped.  I'll be back to try their huckleberry options though for sure.",Neutral
"Awesome theater, just be sure to get there early and sit in the middle. Didn't like being on the outer edge too much.",Positive
"A little trashy but open late and a good way to get some grease after you've been drinking. The food is not great, but it's edible. I thought waiting 20 minutes for burritos was a bit long, especially since they weren't busy at the time.",Neutral
Works great!,Positive
"I'm finding more and more uses for this all the time. It keeps me informed with news and weather, I can get a daily Bible verse, and have it play music. New skills are added all the time. The future is here!",Positive
"went for lunch and maybe it's what I ordered, but it was just ok for me. Nothing out of the ordinary or anything that really WOWed me. The place was clean and the servers good, though",Neutral
I love it. bought one for my daughter and one for myself,Positive
"I use this Echo to listen to music as well as a sort-of research tool. It can answer a variety of questions. I would like if the volume could go just a little bit louder, but I can't complain.I also believe it should have an internal power source. In order to use the Echo, it must be plugged in at all times using the universal charging cord. It would be nice to use the Echo Dot on the go without having to buy the other product.",Positive
Good but weird waitresses put labels on ur bottles of orange juice quit smelling my cup to see if it has alcohol in it,Negative
"Update ..the manager actually did call me back and she was just as dumb, it not dumber than her employee.",Negative
"Wanker central if we're being honest with ourselves. For students who spend so much money on Polo Lessons they can't afford that weekly trip to the cocktail bar.\n\nGreat pub itself, but you will be stuffing chips into your ears to aviod \""OMG, did you hear what Sarah said on Facebook\"".",Negative
"The Rogue can be fun.  You have to be good and liquored up when you go, and go with a bunch of people.  Strictly a Saturday night bar.  Lots of greasers during the weekdays.  Strong drinks.",Positive
Happy hour is great but the food could be a little bit better.,Neutral
"Easy to set up and use,",Positive
"Okay I'm only updating cause we tried again new things and same results, meat is cheap and not good. Only recommend the Singapore noodle.",Negative
Last visit here will probably be my last for awhile. I ordered some tamago nigiri and you know what they served me?\n\nTamago. No rice. No nori. How is that a nigiri sushi?!\n\nDisappointment.,Negative
"My nails looked great, but not even a week after I had them they started breaking! I wasn't doing anything out of the ordinary, the product just seems cheap to me.",Negative
Does everything as expected and more.,Positive
"Works great, video call function nice when communicating through drop-in",Positive
I love you so much,Positive
very nice-needs some work,Positive
Works fine!!,Positive
"The Echo Spot is compact, nice sound and camera quality. Makes it great to video chat with the family when I'm travelling for work. Ease of use that the youngest member (10 years) has no problem talking to Mama on the video chat and understands the important of digital security.",Positive
"Continue to be horrible. Now I ordered carpet, they input the wrong one, when I communicate this they tell me the carpet I ordered 12/24 is no longer carried! This store is a train wreck.",Negative
"Not real Spanish food. Truly overpriced. Overcooked shrimp (gasp!).\n\nRossejat sucked; they only give you one dried up quail; only memorable thing here is that they serve one particular dish in a hiking boot. \n\nTruffle sandwich thing okay, but then again truffles are always okay.\n\nGo elsewhere.",Negative
"I was not impressed by the pizza by any means. The red sauce had no flavor and there was very little seasoning on the pizza with the regular red sauce. The garlic sauce, on the other hand, was really delicious and I regret not getting it.",Negative
Had lunch here and the food and wine selection are excellent.  The wait help is very service oriented.  There homemade pasta is awesome.  I visit every trip I go to Vegas. This is one of my favorites in Vegas.,Positive
Got charged an EXTRA 20.00 to my card last night!!! Make sure you save your receipt .....also very $$$$.... We left hungry,Negative
"Is as expected and more, responds very fast to given commands and was very easy to connect via the Amazon App. I also bought the PhilipsHue Light Bulb and all I had to do was put it in my lamp and tell Alexa to find my device and it connected and the lamp now turns on and off with voice commands.",Positive
"Spacious neat room.....No mini fridge!!! Plus, it's a bit of a hike to get to the room from the parking garage.",Neutral
Purchased Vacuum bags an came back to return them they closed the store 10 min early ... Came back the next morning an would not return money. .. Terrible customer service. .. I then found bags on amazon for more than half the price. .. Big Rip off,Negative
This place. Failed white helt inspection.. have.... b......,Negative
Booo got it wrong again.  You guys have messed up 4 of my last 5.  Taking another DB break and going back to making my own til I can get over it.,Negative
Liked 100%,Positive
Bought this on Prime day,Positive
"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.",Positive
The best pizza in town!  used to be--what happened????,Negative
so far just ok,Positive
"We had high expectations, as the food at Rivertowne in Verona is great. We tried the beer special, $3 for Anchor Brewing beer that was great. The fish sandwich was excellent but the fries were disappointing. The mushroom burger was very good, too.",Neutral
Need more rides! I want to buy a season pass for here or wet n wild so if they don't show progress in rides it will be wet n wild,Neutral
I loved it so much on my living room TV that I bought one for the bedroom TV. Highly recommend this device to anyone wanting to simplify and improve their online entertainment experience.,Positive
Smoky old school depressing casino. Smell like an ashtray after visiting - boo. 2 stars because there are worse casinos in Vegas ;),Negative
"I was a little apprehensive about buying a refurbished electronic product, but with Amazon's guarantee, thought I would try it. Glad I did, and will probably buy another refurb product form Amazon. I love the Alexa products and have several. This one sits on my desk. Has a small footprint, but has great sound and I use it daily. Works great.",Positive
"Stick to Beef, seafood is not fresh, a disappointment at RedRock.  Won't be back",Negative
Normal but pretty good coffee joint,Neutral
Good food but be aware that though place closes at 11 they shut the kitchen at 10:20. Told us we could hurry up and order something and call the other couple meeting us to order for them.,Neutral
"Classic Cowboy food (i.e. Steak) and a great view of the Valley. \n\nBe sure you \""eat the snake!\""",Neutral
It's a nice room but not good customer service. Waiting forever on the phone to get front desk to answer. Day managers were cool guys.,Negative
What a blast!  We love Echo...  Just learning all the tricks but lots of fun and helpful too!,Positive
"This place has everything you cancer lovers need. Plus, no sales tax. Aww yeeahh.",Neutral
Food is ok.,Neutral
Love being able to listen to music easily. Still learning all the features available,Positive
Update: Another star added due to the owner Lew's email to me regarding my visit and awesome service recovery. That's something you don't get very often.,Neutral
"I'm surprised this place is still opened. the waitress was very rude and thought that we were just high school student stopping in to eat after school ended. ordered the fried pork chops and was overcooked, not my cup of tea!",Negative
"The food was fine but not good enough for the price. Like most places in bellagio, the service was subpar. What you are paying for is a decent meal next to the atrium.",Neutral
"I love you, Alexa!",Positive
Alexa hardly came on..,Negative
Great product - understands my accent!,Positive
"Been here many times and since they opened service is going downhill.. Kids yelling and screaming, service very slow.. Not sure I'll be back!",Negative
"Food is okay, But service is not that great. Only 2 small tables and took the waiter 15 mins just to get water and hot tea.",Neutral
Just avoid! Crooks!!!  Bumper to bumper warranties are not that... BEWARE,Negative
I like the product except that the speakers are not the high quality I expected,Neutral
"They took 1\""-2\"" off the tips off our girls hair, no big deal. Did a complete wash before the cut. Twelve buck each, guess I can't complain.",Neutral
- Hostile/Rude service. \n- Loop holes on the specials.\n- Dirty bathroom.\n- Bland food. How 'bout spices & salt. \n- Reservation table non-sense.,Negative
"an old favorite. love to come here, not necessarily for the food which is ok, but it is a great place to hang out and enjoy your meal with friends. the staff always smiles.",Neutral
Been here 45 mins....no food yet.   Think they need to get their act together in the kitchen.   This is unacceptable.  I hope they get this in order....would love to have a great place like this in our neighborhood.,Negative
The location on Eastway has sub par customer service and the security guard is always weird acting and staring you down. I feel like it's too much.,Negative
I agree with all of the reviews of this place.   It is over hyped.  Yea the view is great but as with most restaurants with a view the food never lives up to it.  Please try Isabella or even Monteray bay before shelling out le cash for le mont.,Neutral
"Good service, OK food, overpriced for what you get",Neutral
Love my new Echo Plus,Positive
"Very good food, however it is spendy. There is a deal for Veterans though right now, take your DD214 or something that says you are a Vet and they will give you 50% off.",Positive
I got my oil change and they didn't change my oil filter just left my original!!  Just found out when I went to my regular oil change place.  Don't visit this place.  No integrity.,Negative
Cord cutting,Positive
"This place does not deserve a 4-5 star , the food is average and the price is super expensive ..... The biriyani is not good  and the chicken tikka is only colorful , Taste is now ever like the traditional tikka",Negative
LOVE LOVE LOVE THESE. The only think I notice is that it doesn't pick-up my voice and commands as well as my Echo and Echo Dots (we have 4 Echo products throughout our house). I have this in the kitchen and in my bedroom as my alarm clock. I'm no longer searching for a pen and paper to make lists!!!!,Positive
"The only good thing about this restaurant was our food.  On the flip side, the place is dirty, our waiter seemed dirty and it was the worst bloody mary I have ever had.  Sorry, I will not return.",Negative
"I'm always impressed with the staff here. There could be five people or 30 people in line and they just move it along. Nice!\n\nI like the bagel sandwiches... both breakfast and lunch. But really, the garden veggie cream cheese is the BEST!!! Love the fresh bagels :)",Neutral
Nothing special discounts aren't impressive~,Neutral
Responds easily and like the ability to do at night.,Positive
Machines always broken and employees only care about getting your money. Spend a few extra bucks and go elsewhere.,Negative
"A tiny bar that's perfect for the soccer fan.  This bar has dedicated itself to \""football\"" and it's hooligan fans.  The beer selection is very limited but who cares!!",Positive
It was empty when I went.  Just flew into Phoenix and wanted a late meal (at some place that was still serving food).  I ordered the coconut chicken tenders and fries.  Amazing and creative!  I'd definitely go back.,Positive
"Great lunch spot for unique, tasty sandwiches using ordinary ingredients.  You get to choose from a bajillion different bread slices.  \n\nThey have some awesome soups too!!! yum!",Neutral
Pizza here is decent but a bit overpriced. And counter service has sucked sometimes. \n\nThey do have good lunch specials. I tried a slice of their white pizza for lunch and it was really yummy.,Neutral
Great Food. We have noticed that most of the people here are repeat customers and the owner takes the time to greet everyone one of them. Will go there again.,Positive
"Good food. Had the bowl so I could use the coupon. Would come back to try the pita! Get the yellow rice, it's healthier and super good. :)",Positive
"I frequent this establishment and generally ignore the poor service, but after my latest encounter they have lost me as a customer. I waited 30 min to even be acknowledged only to have longer waits for food and drinks. I have never had worse service.",Negative
"This is as good as cheese gets in Montreal. Cheaper than Val-Mont next door, which competes for fancy cheeses.",Positive
"This place is alright... pretty convenient to I-85 and Concord Mills.  Nothing really special to report here... just fast, efficient, friendly service... with a very clean dining room.",Neutral
This thing is awesome. We watch it more then the regular cable. Going to by more on Black Friday as Christmas gifts.,Positive
"The pizza on the buffet line is good, but not  always stocked up.  Too much wait time for replenishing.  The area dedicated for the buffet area is too small to service their customers.  They could improve their buffet by adding a salad bar.",Negative
Reasonable family restaurant.  I visit about once a year. Food quality and price point do not get me there more often.,Neutral
Horrible! Food took forever! Forgot hash browns. Finally brought hash browns when I was done with my meal! Didn't get drink refills! Will not be back!,Negative
We waited an hour to be seated. The excuse was we needed a highchair. Tow families needing a high chair came in after us and were seated instantly. I received attitude when asking about the reason my family was stilling waiting. I will not go back to this location.,Negative
They lost the vibe of the original cafe with this small weird choice of  location.  I agree with another reviewer feels like Starbucks and when am I in this area.  A one and done for me as Sunrise and Grouchy Johns deliver a better overall experience.,Negative
"After my nightmare of eating at a Paris Buffet, I was relieved to find this buffet. A huge selection I enjoyed the noodle bar and fresh veggies. So many choices.",Neutral
This is a review for the motel. I stayed here two years ago and then again this month. It seems that conditions are improving under Days Inn. The room was clean but the place is still a little bit run down. Look at it as a cheap place to stay.,Neutral
"Had the smoked meet with a side of poutine (had to go with the whole experience). Good smoked meat, although I've had better.  The service was good, but very slow.",Negative
"Great place to cure a hangover. They skimped on my mudslide though, maybe it was the hangover.",Neutral
Easy to connect and the skills created for our Echo 2nd Gen worked fine with the Dot.,Positive
I didn’t order it,Negative
This is the one of my favorite Amazon devices.  Have one in my bedroom and use as alarm clock. Perfect addition to our home of Alexa devices.,Positive
4 stars for the spring rolls\n2 for the pho\n\nToo many noodles and they're overcooked -- the result: cloudy thickened broth for leftovers the next day.,Neutral
"Great service, delicious cannoli's, great pizza crust!  Place is a little small and it gets busy.",Neutral
"Exactly like new, can tell the difference from my new dot I got prior to this one, works perfectly. LOVE Alexa",Positive
Ugh. How frustrating is it to have to repeat yourself several times to get them to understand what you're ordering? ...And then they still don't get it right? This has happened to me 2 of 2 trips there (and I won't be back). My advice: train some active listening skills.,Negative
"Our first visit. I brought my teen and a bunch of his friends. I played also, though was mostly  target practice :) The owner is very cool. The playing fields are awesome with cars, a helicopter and buildings. It's well organized and all the rental gear worked great.",Positive
"yeah, not that good. Who took all the cool shit?",Negative
Food was below average. It was made fast though. Any correlation between bad food and fast service????,Negative
"Went here with a big group, we tried a bunch of different menu items.   Overall, food was very good, service was excellent.  That being said, I have had food just as good or better and paid alot less.  \n\nLocation, location, location.",Neutral
This is the best of my echo devices and I own a spot a dot and echo,Positive
a must go to spot after a weekend of drinking!  the server is def funny.. came over and started to ask if we were hung over.. the food was ok.. of course sgv is better.. it's is def expensive..,Neutral
Great place if you're looking for over priced teriyaki entrees and crap service!! Waited almost 45 minutes for our meal on a Wednesday night with only 2 other tables occupied..very disappointing!!,Negative
"My wife loves the gnocci.  It's a bit cramped so make sure you have reservations.  The menu is small but I've always found at least on dish to my liking, just never been blown away by anything yet.",Neutral
If you live in the Dilworth / South End area of charlotte this is the place to come for a great beer selection. Good Bottle has a very neighborhood feel yet very industrial. Killer selection - great prices - 12 taps - awesome hours - extremely personable.,Positive
Just went back last night here and got a medium pizza for $5. Person working late last night was very friendly and the lady who took my order was very polite.,Positive
Good breakfast.\nBetter than Denny's.\nService is always nice.,Neutral
"Half the time the food is great, half the time it's not.",Negative
Called for a cab and rates. Guy who answered was very rude. Won't bother with this place again.,Negative
"I needed some money and I happened to drove-by and saw a Chase logo inside the store, went in and got my money.  Happy to see Walgreens and Chases partnered up for portable ATM.",Neutral
"Second time we went and they were not making things listed on their menu.  Went specifically for their heavily promoted Crepe Cake, but they didn't feel like making it that day.  Won't go back to be disappointed again.",Negative
BOTTOM LINE: I love the soup & sandwiches. I can bring my dog.,Positive
"AYCE is awesome. Makes me wonder though why every time we come visit it's a different chef. Hmmm *scratches chin.* Nonetheless, experience was never bad. I would come back, especially if they keep the chirashi in the menu. :)",Neutral
Works perfect no wear and tear on the device I love Alexa working on making my home smart 😂,Positive
"It's an alternative coffee chain to Starbucks. A little pricey but the sizes are a little bit bigger. Their iced soy chai is really yummy, don't forget to ask for cinnamon on top - which is my favorite part. There's plenty of seating to study or just hang out.",Positive
"Ordered the \""Big Blue\"" burrito expecting that the size of the burrito would have lived up to the name. \n\nPerhaps since I didn't expect the burrito to be blue, I shouldn't have expected it to be big either. :-)\n\nThe pork burrito was just ok.",Neutral
"Sometimes long winded explanations as to why places are great can grate on you...\nhaha \""great...grate\"" \n*ahem*\nat any rate there is only one thing I can say about La Canasta, and I will stand by this conviction until proven wrong:\n\""BEST MEXICAN RESTAURANT IN THE VALLEY\""\ngo ahead and prove me wrong.",Positive
The speaker is of surprising quality. Happy with the purchase.,Positive
Pretty solid place for dumplings in Montrel.  Had pork and lamb dumplings that were pretty tasty and standard fare.,Neutral
We love it! Finally got one for everyone in the home. Most importantly we’re saving money that would have otherwise gone to cable.,Positive
"Happy hour from 5-7pm.\nHalf off everything on this list which include special drinks and appetizers.\n\nPortions are small, so we spent alot of money and still get totally full.\n\nInside Planet Hollywood and next to the Peepshow area.",Neutral
"How can you not like the Echo Plus.  It has the built in Hub and works seamlessly with all my compatible devices.  Amazon makes a great product and I haven't had a single issue with this one or any of the other devices (echo dots, etc.).",Positive
"Yucky!\nI took one bite of everything that I put on my plate. This place was horrible. My drink, iced tea, was the only thing that I really enjoyed.\nLucky for us, this place was included with our ticket to see George Wallace.\nDo yourself a favor, don't pay to eat here.",Negative
"keep hearing mixed reviews about this place so I got myself a chicken burrito there today.  It was ok, nothing special, they charge extra for the veggies, hot sauce was not spicy at all and the rice was meh.  Chipotle is way better, imo",Negative
"I like the built in hub. Plus the unit sounds great, just wish it had a volume control on it.",Positive
I just got a salad here. It was excellent!,Neutral
Windy City Beefs-N-Dogs has the best dogs in town. The service is down home because the owners actually work the business which is hard to find these days! For an authentic Chicago Dog try Windy City I KNOW you'll love it.,Positive
First time here lets see how good it is.,Neutral
Love it!!!,Positive
The restaurant was virtually empty on this weekday night.  We each ordered the 8 ounce filet mignon done medium rare.  All entrees include the soup and salad bar.  The filet was cooked to perfection and turned out to be better than I expected.,Neutral
Great sound from a little speaker,Positive
Exellent Barber Shop!!! I recommend Mr. Mike,Positive
Had a groupon for a family meal.  Gave us only dark meat (4 legged chicken anyone).  No breast meat (ad was for a whole chicken).  Also gave only small sides.  Not friendly.  Good ribs and beans-had better though and will not go back.,Negative
This would be a great place to open a retail store!!!!!!   Maybe they should hire some help to make spending money easier.  I'll spend my money on line.,Negative
so far just tried their napolitana pepperoni pizza. good. real greasy but it's a pizza with pepperoni slices. i've ordered pizza twice & will review the other foods when tried.,Neutral
"Pizza 7/10, would've been better if it was hot. Manager was a little grouchy & not the friendliest. Also- she said she hated yelp",Neutral
Easily configured hub capabilities.  Excellent sound quality for the size of the unit.,Positive
Decided to give this place a 2nd try. Juice sucked as much as the first. Definitely not going back.,Negative
Decent calamari. Good sangria. Came late and no one was there.,Neutral
"My mom bought a few Echo Dots and repeated ask me to take one of hers because it was so great. I told her “no” for two days. When she made me take it, 6 hours later I could not live my life without it!  It’s that amazing, so now we have four large speakers and only the small Echo Dot, that I will be returning to her. I say if you’re going to order an Alexa speaker, go big and get the Echo, otherwise tou’ll Be returning the two Echo Dots you couldn’t live without.",Positive
My wife and I got to Yayo's at 11:00... When they open and were told the kitchen wasn't going to be open for another 20min.,Negative
"It's a mall. One Big A$$ mall with 4 levels of shopping. It boasts having Canada's largest food-court selection, and as others have mentioned: it's part of the underground city.",Neutral
"The service was curt, the food was basically Denny's quality, the prices were double what they should have been. The map was fun to look at, but I won't be back.",Negative
Warning to parents wondering if they should bring kids -- lots of profanity in the show (dozens of occurrences) and some risqu\u00e9 humor I didn't appreciate.,Neutral
very avg lik most other indian restaurant !! though its decent compared to the price (9 bucks buffet )!!,Negative
Food is Excellent but the service is NOT! The gentleman taking the food orders acted like we were disturbing him.. Tried to give him the benefit of the doubt but this is the 3rd time we go and he's always beind rude and in a rush.,Neutral
smoke filled bar that serves TV dinners,Negative
"When the owner is not around, a good place. But when he's in, the worst place to wash your car. It's as if, he don't want customers to be on his property. Constantly asking annoying questions, and thinking that you'll break his stuff. \n\nSo avoid before 5pm on weekdays.",Neutral
"I was able to stay here using my SPG points. Worth the points, not worth paying. \n\nThe room is was good, but my only gripes are that the room was dark and the self-parking was far.",Neutral
At ces trade show and looking for lunch. I show up at 2:03 and the host jokingly says we are closed. We laughed. But he meant it. Last year my burger ordered medium came out almost raw. I am never going back,Negative
Really like the show me feature. I also like video calls with others.,Positive
Worst crepes I've had. Dessert crepes were cold and rubbery. Definitely not fresh. The ice cream had a bad taste. I would never eat here again.,Negative
Great sound in a small package—easy to set up and use; fun to own.,Positive
"I received my Echo Dot today in good condition, but be advised: I paid $29.99 for it and Amazon has (as of this writing) raised the price to $39.99, so do your research before buying so you can get a good deal!Set up with the Dot went simple enough — plug it in, follow the app instructions... except initially it took a while to actually show up in my iPhone’s WiFi settings. I called Amazon customer service, and I dunno what it is, but lately I’ve been getting terrible support. The guy that took my call just rambled off a (completely unhelpful) script and I ended up setting up the Dot while he was in the middle of his spiel.I’m not sure if this is the norm or if it’s because this is refurbished, but the Dot has a pretty finicky wifi range and randomly disconnects even though the app shows that the range of my 5GHz connection is strong. Reconnecting is a pain each time as well.All that said, when Alexa works, she works amazingly well. I don’t have a speaker hooked up to it, but one thing I really enjoy is the mic’s range and sensitivity. One of the more annoying limitations of Apple’s Siri is that when she’s playing audio through device speakers (music, podcasts, etc), the “Hey Siri” feature is all but useless. Alexa has no problem hearing me over whatever is playing at the time, and with amazingly fast responsiveness too. I haven’t tried this with louder speakers yet, so I’m not sure if this will continue to hold true.Setting up Alexa to control all my wireless devices was a breeze, albeit with limitations — support for Arlo devices is nil, and if you have special settings for your LED devices (eg. rainbow effects), Alexa can’t handle them, she only knows how to change solid colors and brightness levels.All in all, my rating would’ve been lower had I not gotten a decent price on this item. If the connectivity problems persist, I may have to exchange/return this item. I don’t want to though — Alexa’s kind of growing on me.",Neutral
Easy setup. Was up and running in minutes. The learning feature is outstanding. Now I know why Amazon is so far ahead of the competition.,Positive
One of the better airports to transfer in from Boston to Daytona Beach. I've generally found that everyone here is friendly. The rocking chairs are a nice place to sit down and rest during a layover. Good selection of food and shopping to keep someone busy for a while.,Neutral
Untrained!!!! Ive got abrasions & a swollen  eye 2 days later. Im not looking  forward to healing this disaster & growing  back my now too thin eyebrows.,Negative
"Forget that it's located in Walmart, just ask for Corena.  She is amazing, listened to everything I needed and gave me a great haircut.",Positive
"Slow service, staff lacking knowledge . Staff is more interested in talking amongst themselves then helping customers.",Negative
"Stupidly overpriced nachos for fast food, and when I asked if they came with lettuce, the answer was \""No, but it can be added for $1 extra\"". LETTUCE! \n\nI already did not like Roberto's solely because their food is incredibly weak, but this pushed it over the top.",Negative
"This location is right by my house, and is very convenient. The staff has always been very polite and helpful here- I have never had any problems with them. There's never been an issue with applying coupons at this location.",Positive
Had lunch there on a rainy day. The light was dark so I did not enjoy eating there. The food was just so-so. No much choice on the menu. Don't know if they had another menu for dinner.,Neutral
"Pot Roast with Polenta Delicious but overpriced. Moroccan meat balls did not suit my wife's tastes, but I thought they were good (albeit reheated the next day at home.) Good service on a wobbly table and uncomfortable chairs.\nFun setting.",Neutral
Good deal on happy hour- but service absolutely sucks. Finished a drink waiting to order food.,Negative
Huh not good. Nice and clean place but need lots of improvement on food. Shrimps tempura was a 1 star!,Negative
This location is ok. The staff is friendly. The location could use a regular deep cleaning with attention to detail,Neutral
"What a great little gadget for the house. You ask and it delivers, period. Well done!",Positive
"Not sure what the love affair is, but people say that to me about Chicfila, so....  I do like it when I eat here, but just never do.   Fries are great, you can tell the buns are quality.  Otherwise, it is a fast food burger joint.",Neutral
As described and received on time.  Do not like automatic enrolment into music.,Positive
Probably my favorite Italian deli in the Madison area. Great selection of sandwiches and sides. Love the pizza ingredients to make your own pizza at home and their frozen lasagna is the best I've ever had. Definitely the place to go for all things Italian!,Positive
"Things to like\n- Two dollar 8 ball pints\n- Good food, especially the boneless wings\n- Good service and friendly wait staff\n- Football/Baseball/Basketball - YES!\nThinks to think about\n- They changed happy hour menu.  Have only been once since\n- Uncomfortable chairs",Neutral
The food and service were okay.  I was not WOW'd by my meal (carnitas) although the place has a great reputation.  Good environment.  Big bar area.,Neutral
"Service at this location has been sub par every time I've been. I've also been a few times when their hours say they should be open only to find they've closed early. In short, food is good; service, not so much.",Negative
"This review's for some take out food - wings, meh...honestly the flavor level's between fast food and chain restaurant.. \n\nFruit punch drink , A-ok",Negative
Horrible experience with staff. So rude I wrote to Corp on their website and will never return. They do have a good game selection so I listed 2 stars. Enjoy a human version of Jabba the Hutt when you visit.,Negative
"Interesting selection of unique home decor. Great place to browse. Would recommend if there's a need for gifts. Items are somewhat premium, but there are deals.",Neutral
Office is open longer than most vets in the area. I believe they offer payment plans. Services are reasonably priced. Nice staff and they even called to see how my baby was after being treated. This will be our veternarian of choice for now on.,Neutral
Everything was great!,Positive
Great hike!  Love doing the gateway loop trail. This is a great hike because it's not too crowded and it's moderate level. Another bonus is that the bathrooms are really clean and parking is easy. \nLooking forward to doing the hike to Tom's Thumb one day too.,Positive
"I was in town for work and stopped by here. The food was decent, with quick service.",Neutral
"The worst hotel I have ever been to, worst than any motel! Do not even try it. You would definitely regret it! The hotel staff are extremely rude and irresponsible! My score would have been -5 out of 5 stars, if possible!\n\nNo Internet at all!! Ridiculously old and crappy hotel!",Negative
"Although this is airport food, it was Not that great.  The menu is super generic and pizza is way too much crust and very basic ingredients.  Would expect more from a place that specializes in pizza.",Negative
"Service is good but a very old/bad glass of wine, prices are up and portion was down on the Butterfish dish.  Very disappointed, don't think I will return again.",Negative
"Bad customer service, my bar tender is still washing dishes when my friends is ready to pay.",Negative
Excellent pizza. The best. Had antipasto.  Was great. Prices somewhat ok. But service sucks. Needs new management to control the staff.  Very disappointed on staff but pizza greattt,Neutral
"Giving an extra star for the most friendly drive thru server! First time I went ordered a chimi which was decent, but nothing memorable. \n\nLast visit ordered some tacos and burrito, both of which were bland and sloppy. Quality over quantity counts unless just having run a marathon.",Negative
"Very very disappointing meal and service.\nDid not serve what was requested either.\nHustle you in and out.\""",Negative
"Sandra is the reason to come to this place. Wherever Sandra is I go because not only is she best nail tech, she's a funny person who always makes my time there worthwhile. Do yourself a favor and book with Sandra! Message: miz.sandra@yahoo.com",Neutral
"Beer is pretty good price is a bit much for what it is tho. Ellis island has better beer, better prices and they have good food.",Neutral
